n,id,instrumento,abreviatura,esfera,dominio,tipo,procedencia,items,opciones,puntaje_maximo,umbrales_derivados,bandas,referencias_en_la_herramienta,titular_de_derechos_propio
15,walter,Índice pronóstico de mortalidad a un año tras la hospitalización,Índice de Walter,Paliativos y pronóstico,Pronóstico de mortalidad,Sumativo,Complementario (no procede del manual),6,15,20,3,0 a 1: Riesgo bajo | 2 a 3: Riesgo intermedio | 4 a 6: Riesgo alto | 7 a 20: Riesgo muy alto,"Walter LC, Brand RJ, Counsell SR, Palmer RM, Landefeld CS, Fortinsky RH, Covinsky KE. Development and validation of a prognostic index for 1-year mortality in older adults after hospitalization. JAMA. 2001;285(23):2987-94. Validación externa en Brasil: Avelino-Silva TJ, Lee SJ, Covinsky KE, Walter LC, Deardorff WJ, Boscardin J, et al. JAMA Netw Open. 2025;8(1):e2455475. Escala complementaria: no forma parte del manual de referencia.",
16,lee,Índice pronóstico de mortalidad a 4 años en el adulto mayor de la comunidad,Índice de Lee,Paliativos y pronóstico,Pronóstico de mortalidad,Sumativo,Complementario (no procede del manual),12,29,26,3,0 a 5: Riesgo bajo | 6 a 9: Riesgo intermedio | 10 a 13: Riesgo alto | 14 a 26: Riesgo muy alto,"Lee SJ, Lindquist K, Segal MR, Covinsky KE. Development and validation of a prognostic index for 4-year mortality in older adults. JAMA. 2006;295(7):801-8. Escala complementaria: no forma parte del manual de referencia.",
17,opioides,Cálculo de dosis equianalgésicas y rotación de opioides,Conversor de opioides,Paliativos y pronóstico,Herramienta,Calculadora,Complementario (no procede del manual),0,0,,,,"Hernández-Ortiz A. Construcción de un nomograma para facilitar el cálculo de dosis equianalgésicas para la rotación de opioides. Rev Mex Anest. 2016;39(4):251-60. Quintero C V. Taller de opioides. Fellow de Dolor y Cuidados Paliativos, Instituto Nacional de Cancerología – Universidad Militar Nueva Granada. Herramienta complementaria: no forma parte del manual de referencia.",
18,mrc,Escala del Medical Research Council,MRC score,Funcional,Fuerza muscular,Sumativo,Manual de referencia (2024),12,72,60,2,0 a 35: Debilidad adquirida severa | 36 a 47: Debilidad adquirida moderada | 48 a 60: Sin criterios de debilidad adquirida,"Kleyweg RP, van der Meché FG, Schmitz PI. Interobserver agreement in the assessment of muscle strength and functional abilities in Guillain-Barré syndrome. Muscle Nerve. 1991;14:1103-9.",
19,ashworth,Escala Modificada de Ashworth para el tono muscular,Ashworth modificada,Funcional,Tono muscular,Algorítmico,Manual de referencia (2024),1,6,,,,"Bohannon RW, Smith MB. Interrater reliability of a modified Ashworth scale of muscle spasticity. Phys Ther. 1987;67(2):206-7.",
20,sppb,Short Physical Performance Battery (test de Guralnik),SPPB,Funcional,Desempeño físico,Sumativo,Manual de referencia (2024),5,17,12,1,0 a 9: Movilidad limitada | 10 a 12: Movilidad normal,"Guralnik JM, Simonsick EM, Ferrucci L, Glynn RJ, Berkman LF, Blazer DG, et al. J Gerontol. 1994;49:M85-94. Valores normativos colombianos: Ramírez-Vélez R, et al. Front Med (Lausanne). 2020;7:52.",
21,frail,Escala de cribado para fragilidad,FRAIL,Funcional,Fragilidad,Sumativo,Manual de referencia (2024),5,22,5,2,0: Sin alteración | 1 a 2: Sospecha de prefragilidad | 3 a 5: Sospecha de fragilidad,"Morley JE, Malmstrom TK, Miller DK. J Nutr Health Aging. 2012;16:601-8. Rosas-Carrasco O, Cruz-Arenas E, Parra-Rodríguez L, García-González AI, Contreras-González LH, Szlejf C. J Am Med Dir Assoc. 2016;17(12):1094-8.",
22,fried,Fenotipo de fragilidad de Linda Fried,Fenotipo de Fried,Funcional,Fragilidad,Sumativo,Manual de referencia (2024),5,10,5,2,0: Robusto | 1 a 2: Prefragilidad | 3 a 5: Fragilidad,"Fried LP, et al. J Gerontol A Biol Sci Med Sci. 2001;56(3):M146-56. Puntos de corte para Colombia: Samper-Ternent R, Reyes-Ortiz C, Ottenbacher KJ, Cano CA. Frailty and sarcopenia in Bogotá: results from the SABE Bogotá Study. Aging Clin Exp Res. 2017;29(2):265-72.",
23,cfs,Clinical Frailty Scale (CFS) versión 2.0,Clinical Frailty Scale,Funcional,Fragilidad,Algorítmico,Manual de referencia (2024),1,9,,,,"Rockwood K, Theou O. Using the Clinical Frailty Scale in allocating scarce health care resources. Can Geriatr J. 2020;23(3):254-9.",Dalhousie University
24,sarcf,"Strength, Assistance walking, Rise from a chair, Climb stairs, Falls",SARC-F,Funcional,Sarcopenia,Sumativo,Manual de referencia (2024),5,15,10,1,0 a 3: Sin alteración | 4 a 10: Sospecha de sarcopenia,"Malmstrom TK, Morley JE. J Am Med Dir Assoc. 2013;14:531-2. Parra-Rodríguez L, Szlejf C, García-González AI, Malmstrom TK, Cruz-Arenas E, Rosas-Carrasco O. J Am Med Dir Assoc. 2016;17(12):1142-6.",
25,barthel,Actividades básicas de la vida diaria,Índice de Barthel,Funcional,ABVD,Sumativo,Manual de referencia (2024),10,30,100,4,0 a 19: Dependencia total | 20 a 39: Dependencia grave | 40 a 59: Dependencia moderada | 60 a 99: Dependencia leve | 100: Independiente,"Mahoney FI, Barthel D. Md State Med J. 1965;14:56-61. Baztán JJ, Pérez del Molino J, Alarcón T, San Cristóbal E, Izquierdo G, Manzabeitia I. Rev Esp Geriatr Gerontol. 1993;28:32-40.",
26,lawton,Actividades instrumentales de la vida diaria,Lawton y Brody,Funcional,AIVD,Sumativo,Manual de referencia (2024),8,19,8,4,0 a 1: Dependencia total | 2 a 3: Dependencia grave | 4 a 5: Dependencia moderada | 6 a 7: Dependencia leve | 8: Independiente,"Lawton MP, Brody EM. Gerontologist. 1969;9:179-86. Ministerio de Salud de Colombia. Anexos de tests de valoración integral: instrumentos; 2018.",
27,pfeffer,Cuestionario de Actividad Funcional de Pfeffer,Pfeffer (FAQ),Funcional,Actividades avanzadas,Sumativo,Manual de referencia (2024),10,40,30,1,0 a 5: Independiente | 6 a 30: Compromiso en actividades avanzadas,"Pfeffer RI, et al. J Gerontol. 1982;37(3):323-9. Quiroga P, Albala C, Klaasen G. Validación de un test de tamizaje para el diagnóstico de demencia asociada a edad, en Chile. Rev Méd Chile. 2004;132(4):467-78.",
28,eq5d,Cuestionario de calidad de vida relacionada con la salud,EuroQol-5D-5L,Funcional,Calidad de vida,Algorítmico,Manual de referencia (2024),6,25,,,,"Ramos Goñi J, Pinto Prades J, Oppe M, Cabasés Hita J, Rivero-Arias O. Estimación del conjunto de valores para los estados de salud del EQ-5D-5L basados en las preferencias de la población española. Madrid: Ministerio de Sanidad, Política Social e Igualdad; 2014. Normas poblacionales colombianas: Bailey HH, Janssen MF, Varela RO, Moreno JA. Value Health Reg Issues. 2021;26:24-32.",EuroQol Research Foundation
29,cam,Confusion Assessment Method,CAM,Mental,Delirium,Algorítmico,Manual de referencia (2024),4,8,,,,"Inouye SK, van Dyck CH, Alessi CA, Balkin S, Siegal AP, Horwitz RI. Ann Intern Med. 1990;113(12):941-8. Toro AC, Escobar LM, Franco JG, Díaz-Gómez JL, Muñoz JF, Molina F, et al. Med Intensiva. 2010;34(1):14-21.",
30,at4,4AT: prueba rápida de cribado de delirium,4AT,Mental,Delirium,Sumativo,Complementario (no procede del manual),4,11,12,2,0: Delirium o deterioro cognitivo grave poco probables | 1 a 3: Posible deterioro cognitivo | 4 a 12: Posible delirium con o sin deterioro cognitivo,"Bellelli G, Morandi A, Davis DHJ, Mazzola P, Turco R, Gentile S, et al. Validation of the 4AT, a new instrument for rapid delirium screening: a study in 234 hospitalised older people. Age Ageing. 2014;43(4):496-502. Versión española validada: Delgado-Parada E, Morillo-Cuadrado D, Saiz-Ruiz J, Cebollada-Gracia A, Ayuso-Mateos JL, Cruz-Jentoft AJ. Diagnostic accuracy of the Spanish version of the 4AT scale (4AT-ES) for delirium screening in older inpatients. Eur J Psychiatry. 2022. doi:10.1016/j.ejpsy.2022.01.003. Escala complementaria: no forma parte del manual de referencia.",
31,dsmdelirium,Criterios diagnósticos para delirium del DSM 5-TR,Criterios DSM 5-TR · delirium,Mental,Delirium,Algorítmico,Manual de referencia (2024),5,10,,,,"American Psychiatric Association. Diagnostic and statistical manual of mental disorders: fifth edition, text revision (DSM 5-TR). Washington; 2022.",
32,minicog,Miniexamen Cognoscitivo: tres palabras y test del reloj,Mini-Cog,Mental,Cognición,Sumativo,Manual de referencia (2024),2,6,5,1,0 a 2: Probable deterioro cognitivo | 3 a 5: Poco probable que exista deterioro cognitivo,"Borson S, Scanlan JM, Chen PJ, et al. J Am Geriatr Soc. 2003;51:1451-4. Mini-Cog © S. Borson. Instrumento con titular de derechos propio: su reproducción y su uso están sujetos a las condiciones que fije el titular.",S. Borson
33,mmse,Minimental Status Examination,MMSE,Mental,Cognición,Sumativo,Manual de referencia (2024),19,49,30,2,0 a 23: Deterioro cognitivo | 24 a 26: Déficit leve | 27 a 30: Normal,"Folstein MF, Folstein SE, McHugh PR. J Psychiatr Res. 1975;12(3):189-98. Validación colombiana: Rosselli D, Ardila A, Pradilla G, Morillo L, Bautista L, Rey O, Camacho M. Rev Neurol. 2000;30(5):428-32.",Psychological Assessment Resources (PAR)
34,memoria,Escala de Trastornos de Memoria (queja subjetiva de memoria),Trastornos de memoria,Mental,Queja de memoria,Sumativo,Manual de referencia (2024),15,60,45,1,0 a 18: No sugestivo de deterioro cognoscitivo | 19 a 45: Sugestivo de deterioro cognoscitivo,"Cano C, Ruiz A, Plata S, Matallana D, Montañez P, Benito M. Capacidad predictiva de una prueba de tamizado en el diagnóstico temprano en la enfermedad de Alzheimer. Rev Asoc Colomb Gerontol Geriatr. 2002;16:428-9.",
35,cdr,Índice clínico de demencia (Clinical Dementia Rating),CDR,Mental,Estadificación,Algorítmico,Manual de referencia (2024),6,30,,,,"Hughes CP, Berg L, Danziger WL, Coben LA, Martin RL. A new clinical scale for the staging of dementia. Br J Psychiatry. 1982;140:566-72.",
36,gdsreisberg,Global Deterioration Scale,GDS de Reisberg,Mental,Estadificación,Algorítmico,Manual de referencia (2024),1,7,,,,"Reisberg B, Ferris SH, de León MJ, Crook T. The global deterioration scale for assessment of primary degenerative dementia. Am J Psychiatry. 1982;139:1136-9.",
37,npi,Inventario Neuropsiquiátrico: cuestionario para acompañante,NPI,Mental,Síntomas neuropsiquiátricos,Sumativo,Manual de referencia (2024),11,44,33,2,0: Sin síntomas neuropsiquiátricos referidos | 1 a 8: Síntomas de baja intensidad | 9 a 33: Síntomas de intensidad significativa,"Cummings JL, et al. Neurology. 1994;44(12):2308-14. Rothenberg KG. Assessment and management of psychiatric symptoms in neurodegenerative disorders. En: Tousi B, Cummings J, eds. Neuro-geriatrics: a clinical manual. Cham: Springer; 2017. p. 367-88.",J. L. Cummings
38,yesavage,"Escala de Depresión Geriátrica de Yesavage, versión reducida",Yesavage GDS-15,Mental,Depresión,Sumativo,Manual de referencia (2024),15,30,15,2,0 a 5: Tamizaje normal | 6 a 10: Tamizaje con depresión moderada | 11 a 15: Tamizaje con depresión severa,"Yesavage JA, et al. J Psychiatr Res. 1982;17(1):37-49. Validación colombiana: Bacca AM, González A, Uribe Rodríguez AF. Pensam Psicol. 2005;1(5):53-63.",
39,gad7,Generalized Anxiety Disorder 7,GAD-7,Mental,Ansiedad,Sumativo,Manual de referencia (2024),7,28,21,3,0 a 4: Sin alteración | 5 a 9: Ansiedad leve | 10 a 14: Ansiedad moderada | 15 a 21: Ansiedad grave,"Spitzer RL, Kroenke K, Williams JB, Löwe B. Arch Intern Med. 2006;166(10):1092-7. Adaptación al español: García-Campayo J, Zamorano E, Ruiz MA, Pardo A, Pérez-Páramo M, López-Gómez V, et al. Health Qual Life Outcomes. 2010;8:8.",
40,autoperc,Autopercepción del estado de salud,Autopercepción de salud,Social,Calidad de vida,Sumativo,Manual de referencia (2024),3,11,4,2,0: Autopercepción favorable | 1 a 2: Autopercepción parcialmente comprometida | 3 a 4: Grupo de riesgo,"Evaluación geriátrica multidimensional. En: Gómez-Montes JF, Curcio Borrero CL, editores. Salud del anciano. Manizales: Editorial Universidad de Caldas; 2021.",
41,mos,Cuestionario MOS de apoyo social,MOS,Social,Apoyo social,Algorítmico,Manual de referencia (2024),20,95,95,,,"Sherbourne CD, Stewart AL. Soc Sci Med. 1991;32(6):705-14. Validación colombiana: Londoño Arredondo NH, Rogers H, Castilla Tang JF, Posada Gómez S, Ochoa Arizal N, Jaramillo Pérez MA, et al. Int J Psychol Res. 2012;5(1):142-50.",
42,vulnerabilidad,Evaluación de la vulnerabilidad social en la valoración geriátrica integral,Vulnerabilidad social,Social,Vulnerabilidad,Algorítmico,Manual de referencia (2024),2,22,,,,"Evaluación de la esfera social. En: Chavarro-Carvajal DA, Heredia Ramírez RA, Cano-Gutiérrez CA, editores. Abordaje geriátrico integral. Bogotá: Editorial Pontificia Universidad Javeriana; 2024.",
43,maltrato,Identificación de signos de alarma de maltrato al adulto mayor,Signos de alarma de maltrato,Social,Maltrato,Algorítmico,Manual de referencia (2024),5,30,,,,"Forero Borda LM, Hoyos Porto S, Buitrago Martínez V, Heredia Ramírez RA. Maltrato a las personas mayores: una revisión narrativa. Univ Med. 2019;60(4).",
44,zarit,Entrevista de sobrecarga del cuidador,Zarit,Social,Cuidador,Sumativo,Complementario (no procede del manual),22,110,110,2,0 a 46: Sin sobrecarga | 47 a 55: Sobrecarga leve | 56 a 110: Sobrecarga intensa,"Zarit SH, Reever KE, Bach-Peterson J. Gerontologist. 1980;20(6):649-55. Martín M, et al. Rev Gerontol. 1996;6:338-46. Validación en Colombia: Barreto-Osorio RV, et al. Aquichan. 2015;15(3):368-80. Escala complementaria: el manual de referencia la menciona pero no la tabula.",Titular de la versión original y de su validación española
